seq,road_id,edges,road_no
0,1,[1],25
1,2,[2],43
2,3,[3],41
3,4,[4],86
4,5,[5],71
5,6,[6],18
6,7,[7],35
7,8,[8],34
8,9,[9],15
9,10,[10],45
10,11,[11],7
11,12,[12],11
12,13,[13],48
13,14,[14],29
14,15,[15],14
15,16,[16],70
16,17,[17],53
17,18,[18],84
18,19,[19],51
19,20,[20],46
20,21,[21],32
21,22,[22],66
22,23,[23],13
23,24,[24],42
24,25,[25],31
25,26,[26],2
26,27,[27],65
27,28,[28],55
28,29,[29],64
29,30,[30],74
30,31,[31],50
31,32,[32],21
32,33,[33],20
33,34,[34],30
34,35,[35],82
35,36,[36],61
36,37,[37],5
37,38,[38],26
38,39,[39],78
39,40,[40],10
40,41,[41],62
41,42,[42],52
42,43,[43],19
43,44,[44],49
44,45,[45],68
45,46,[46],16
46,47,[47],54
47,48,[48],6
48,49,[49],17
49,50,[50],23
50,51,[51],47
51,52,[52],38
52,53,[53],24
53,54,[54],75
54,55,[55],9
55,56,[56],39
56,57,[57],28
57,58,[58],33
58,59,[59],56
59,60,[60],8
60,61,[61],69
61,62,[62],37
62,63,[63],3
63,64,[64],57
64,65,[65],72
65,66,[66],12
66,67,[67],58
67,68,[68],67
68,69,[69],76
69,70,[70],63
70,71,[71],22
71,72,[72],80
72,73,[73],60
73,74,[74],40
74,75,[75],44
75,76,[76],1
76,77,[77],36
77,78,[78],27
78,79,[79],79
79,80,[80],4
80,81,[81],73
81,82,[82],77
82,83,[83],59
