seq,road_id,edges,road_no,partition
169,170,[np.int64(170)],11,3
170,171,[np.int64(171)],64,2
171,172,[np.int64(172)],53,2
172,173,[np.int64(173)],8,3
173,174,[np.int64(174)],24,2
174,175,[np.int64(175)],13,2
175,176,[np.int64(176)],28,2
176,177,[np.int64(177)],15,2
177,178,[np.int64(178)],13,3
178,179,[np.int64(179)],24,3
179,180,[np.int64(180)],7,3
180,181,[np.int64(181)],5,3
181,182,[np.int64(182)],62,2
182,183,[np.int64(183)],49,2
183,184,[np.int64(184)],3,3
184,185,[np.int64(185)],18,3
185,186,[np.int64(186)],1,3
186,187,[np.int64(187)],60,2
187,188,[np.int64(188)],51,2
188,189,[np.int64(189)],58,2
189,190,[np.int64(190)],10,3
190,191,[np.int64(191)],11,2
191,192,[np.int64(192)],26,2
192,193,[np.int64(193)],9,2
