seq,road_id,edges,road_no,partition
0,1,[np.int64(1)],22,0
1,2,[np.int64(2)],20,0
2,3,[np.int64(3)],15,0
3,4,[np.int64(4)],4,0
4,5,[np.int64(5)],10,0
5,6,[np.int64(6)],14,1
6,7,[np.int64(7)],24,1
7,8,[np.int64(8)],30,1
8,9,[np.int64(9)],38,1
9,10,[np.int64(10)],2,1
10,11,[np.int64(11)],42,1
11,12,[np.int64(12)],18,0
12,13,[np.int64(13)],11,0
13,14,[np.int64(14)],13,0
14,15,[np.int64(15)],14,0
15,16,[np.int64(16)],6,0
16,17,[np.int64(17)],1,0
17,18,[np.int64(18)],2,0
18,19,[np.int64(19)],3,0
19,20,[np.int64(20)],16,0
20,21,[np.int64(21)],7,0
21,22,[np.int64(22)],40,1
22,23,[np.int64(23)],35,1
23,24,[np.int64(24)],3,1
24,25,[np.int64(25)],4,1
25,26,[np.int64(26)],1,1
26,27,[np.int64(27)],32,1
27,28,[np.int64(28)],13,1
28,29,[np.int64(29)],12,0
29,30,[np.int64(30)],9,0
30,31,[np.int64(31)],26,1
31,32,[np.int64(32)],15,1
32,33,[np.int64(33)],16,1
33,34,[np.int64(34)],17,1
34,35,[np.int64(35)],8,0
35,36,[np.int64(36)],5,0
36,37,[np.int64(37)],10,1
37,38,[np.int64(38)],42,0
38,39,[np.int64(39)],35,0
39,40,[np.int64(40)],40,0
40,41,[np.int64(41)],37,0
41,42,[np.int64(42)],38,0
42,43,[np.int64(43)],39,0
43,44,[np.int64(44)],24,0
44,45,[np.int64(45)],17,0
45,46,[np.int64(46)],36,0
46,47,[np.int64(47)],19,0
47,48,[np.int64(48)],28,0
48,49,[np.int64(49)],21,0
49,50,[np.int64(50)],26,0
50,51,[np.int64(51)],23,0
51,52,[np.int64(52)],48,1
52,53,[np.int64(53)],39,1
53,54,[np.int64(54)],54,2
54,55,[np.int64(55)],33,0
55,56,[np.int64(56)],30,0
56,57,[np.int64(57)],29,0
57,58,[np.int64(58)],11,1
58,59,[np.int64(59)],6,1
59,60,[np.int64(60)],9,1
60,61,[np.int64(61)],34,1
61,62,[np.int64(62)],33,1
62,63,[np.int64(63)],34,0
63,64,[np.int64(64)],31,0
64,65,[np.int64(65)],28,1
65,66,[np.int64(66)],29,1
66,67,[np.int64(67)],18,1
67,68,[np.int64(68)],23,1
68,69,[np.int64(69)],22,1
69,70,[np.int64(70)],25,1
70,71,[np.int64(71)],12,1
71,72,[np.int64(72)],49,1
72,73,[np.int64(73)],19,1
73,74,[np.int64(74)],56,1
74,75,[np.int64(75)],46,1
75,76,[np.int64(76)],37,1
76,77,[np.int64(77)],52,2
77,78,[np.int64(78)],27,0
78,79,[np.int64(79)],32,0
79,80,[np.int64(80)],25,0
80,81,[np.int64(81)],52,0
81,82,[np.int64(82)],55,0
82,83,[np.int64(83)],12,2
83,84,[np.int64(84)],45,2
84,85,[np.int64(85)],56,2
85,86,[np.int64(86)],53,0
86,87,[np.int64(87)],44,0
87,88,[np.int64(88)],41,0
88,89,[np.int64(89)],46,0
89,90,[np.int64(90)],43,0
90,91,[np.int64(91)],10,2
91,92,[np.int64(92)],7,2
92,93,[np.int64(93)],4,2
93,94,[np.int64(94)],47,2
94,95,[np.int64(95)],8,1
95,96,[np.int64(96)],7,1
96,97,[np.int64(97)],5,1
97,98,[np.int64(98)],36,1
98,99,[np.int64(99)],31,1
99,100,[np.int64(100)],16,2
100,101,[np.int64(101)],51,0
101,102,[np.int64(102)],27,1
102,103,[np.int64(103)],20,1
103,104,[np.int64(104)],21,1
104,105,[np.int64(105)],53,1
105,106,[np.int64(106)],48,0
106,107,[np.int64(107)],49,0
107,108,[np.int64(108)],51,1
108,109,[np.int64(109)],44,1
109,110,[np.int64(110)],6,2
110,111,[np.int64(111)],1,2
111,112,[np.int64(112)],2,2
112,113,[np.int64(113)],3,2
113,114,[np.int64(114)],14,2
114,115,[np.int64(115)],47,0
115,116,[np.int64(116)],50,1
116,117,[np.int64(117)],47,1
117,118,[np.int64(118)],50,0
118,119,[np.int64(119)],45,0
119,120,[np.int64(120)],6,3
120,121,[np.int64(121)],8,2
121,122,[np.int64(122)],5,2
122,123,[np.int64(123)],50,2
123,124,[np.int64(124)],39,2
124,125,[np.int64(125)],48,2
125,126,[np.int64(126)],41,2
126,127,[np.int64(127)],52,1
127,128,[np.int64(128)],45,1
128,129,[np.int64(129)],46,2
129,130,[np.int64(130)],43,2
130,131,[np.int64(131)],2,3
131,132,[np.int64(132)],18,2
132,133,[np.int64(133)],31,2
133,134,[np.int64(134)],15,3
134,135,[np.int64(135)],44,2
135,136,[np.int64(136)],33,2
136,137,[np.int64(137)],28,3
137,138,[np.int64(138)],17,3
138,139,[np.int64(139)],30,3
139,140,[np.int64(140)],19,3
140,141,[np.int64(141)],42,2
141,142,[np.int64(142)],35,2
142,143,[np.int64(143)],16,3
143,144,[np.int64(144)],43,1
144,145,[np.int64(145)],54,1
145,146,[np.int64(146)],41,1
146,147,[np.int64(147)],40,2
147,148,[np.int64(148)],37,2
148,149,[np.int64(149)],4,3
149,150,[np.int64(150)],20,2
150,151,[np.int64(151)],23,2
151,152,[np.int64(152)],38,2
152,153,[np.int64(153)],25,2
153,154,[np.int64(154)],12,3
154,155,[np.int64(155)],9,3
155,156,[np.int64(156)],36,2
156,157,[np.int64(157)],27,2
157,158,[np.int64(158)],14,3
158,159,[np.int64(159)],34,2
159,160,[np.int64(160)],29,2
160,161,[np.int64(161)],26,3
161,162,[np.int64(162)],22,3
162,163,[np.int64(163)],22,2
163,164,[np.int64(164)],17,2
164,165,[np.int64(165)],32,2
165,166,[np.int64(166)],19,2
166,167,[np.int64(167)],30,2
167,168,[np.int64(168)],21,2
168,169,[np.int64(169)],20,3
