seq,road_id,edges,road_no,partition
143,144,"[np.int64(144), np.int64(144)]",7,3
144,145,"[np.int64(145), np.int64(145)]",8,3
145,146,[np.int64(146)],9,1
146,147,[np.int64(147)],8,2
147,148,[np.int64(148)],15,2
148,149,[np.int64(149)],2,3
149,150,[np.int64(150)],4,2
150,151,"[np.int64(151), np.int64(151)]",13,2
151,152,[np.int64(152)],2,2
152,153,[np.int64(153)],13,2
153,154,[np.int64(154)],4,3
154,155,"[np.int64(155), np.int64(155)]",3,3
155,156,[np.int64(156)],6,2
156,157,[np.int64(157)],13,2
157,158,[np.int64(158)],6,3
158,159,[np.int64(159)],8,2
159,160,[np.int64(160)],13,2
160,161,[np.int64(161)],14,3
161,162,"[np.int64(162), np.int64(162)]",10,3
162,163,[np.int64(163)],4,2
163,164,"[np.int64(164), np.int64(164)]",11,2
164,165,[np.int64(165)],2,2
165,166,[np.int64(166)],11,2
166,167,[np.int64(167)],6,2
167,168,[np.int64(168)],11,2
168,169,[np.int64(169)],8,3
169,170,"[np.int64(170), np.int64(170)]",5,3
170,171,[np.int64(171)],8,2
171,172,[np.int64(172)],11,2
172,173,[np.int64(173)],2,3
173,174,[np.int64(174)],4,2
174,175,[np.int64(175)],9,2
175,176,[np.int64(176)],2,2
176,177,[np.int64(177)],9,2
177,178,[np.int64(178)],1,3
178,179,"[np.int64(179), np.int64(179)]",12,3
179,180,[np.int64(180)],1,3
180,181,[np.int64(181)],1,3
181,182,[np.int64(182)],6,2
182,183,[np.int64(183)],9,2
183,184,[np.int64(184)],1,3
184,185,[np.int64(185)],8,3
185,186,[np.int64(186)],1,3
186,187,[np.int64(187)],8,2
187,188,[np.int64(188)],9,2
188,189,"[np.int64(189), np.int64(189)]",10,2
189,190,[np.int64(190)],2,3
190,191,"[np.int64(191), np.int64(191)]",1,3
191,192,[np.int64(192)],4,2
192,193,[np.int64(193)],7,2
