seq,road_id,edges,road_no,partition
0,1,[np.int64(1)],6,0
1,2,"[np.int64(2), np.int64(2)]",8,0
2,3,[np.int64(3)],5,0
3,4,[np.int64(4)],2,0
4,5,[np.int64(5)],4,0
5,6,[np.int64(6)],4,1
6,7,[np.int64(7)],6,1
7,8,[np.int64(8)],10,1
8,9,[np.int64(9)],12,1
9,10,"[np.int64(10), np.int64(10)]",2,1
10,11,[np.int64(11)],14,1
11,12,[np.int64(12)],8,0
12,13,[np.int64(13)],5,0
13,14,[np.int64(14)],5,0
14,15,[np.int64(15)],6,0
15,16,[np.int64(16)],4,0
16,17,"[np.int64(17), np.int64(17)]",1,0
17,18,[np.int64(18)],2,0
18,19,[np.int64(19)],1,0
19,20,[np.int64(20)],8,0
20,21,[np.int64(21)],1,0
21,22,[np.int64(22)],14,1
22,23,"[np.int64(23), np.int64(23)]",1,1
23,24,[np.int64(24)],1,1
24,25,[np.int64(25)],2,1
25,26,[np.int64(26)],1,1
26,27,[np.int64(27)],12,1
27,28,[np.int64(28)],1,1
28,29,[np.int64(29)],6,0
29,30,[np.int64(30)],1,0
30,31,[np.int64(31)],10,1
31,32,[np.int64(32)],1,1
32,33,[np.int64(33)],6,1
33,34,[np.int64(34)],1,1
34,35,[np.int64(35)],4,0
35,36,[np.int64(36)],3,0
36,37,[np.int64(37)],4,1
37,38,[np.int64(38)],2,0
38,39,[np.int64(39)],3,0
39,40,[np.int64(40)],8,0
40,41,[np.int64(41)],3,0
41,42,[np.int64(42)],6,0
42,43,[np.int64(43)],3,0
43,44,"[np.int64(44), np.int64(44)]",16,1
44,45,"[np.int64(45), np.int64(45)]",7,0
45,46,"[np.int64(46), np.int64(46)]",2,2
46,47,[np.int64(47)],7,0
47,48,[np.int64(48)],8,0
48,49,[np.int64(49)],7,0
49,50,[np.int64(50)],6,0
50,51,[np.int64(51)],7,0
51,52,[np.int64(52)],16,1
52,53,[np.int64(53)],7,1
53,54,[np.int64(54)],2,2
54,55,[np.int64(55)],11,0
55,56,[np.int64(56)],8,0
56,57,[np.int64(57)],11,0
57,58,[np.int64(58)],5,1
58,59,[np.int64(59)],2,1
59,60,[np.int64(60)],5,1
60,61,[np.int64(61)],12,1
61,62,[np.int64(62)],5,1
62,63,[np.int64(63)],6,0
63,64,[np.int64(64)],11,0
64,65,[np.int64(65)],10,1
65,66,[np.int64(66)],5,1
66,67,[np.int64(67)],6,1
67,68,[np.int64(68)],5,1
68,69,"[np.int64(69), np.int64(69)]",8,1
69,70,[np.int64(70)],5,1
70,71,[np.int64(71)],4,1
71,72,[np.int64(72)],5,1
72,73,[np.int64(73)],5,1
73,74,"[np.int64(74), np.int64(74)]",18,1
74,75,"[np.int64(75), np.int64(75)]",4,2
75,76,[np.int64(76)],5,1
76,77,[np.int64(77)],2,2
77,78,[np.int64(78)],9,0
78,79,[np.int64(79)],8,0
79,80,[np.int64(80)],9,0
80,81,[np.int64(81)],6,0
81,82,[np.int64(82)],9,0
82,83,[np.int64(83)],4,2
83,84,"[np.int64(84), np.int64(84)]",17,2
84,85,[np.int64(85)],2,2
85,86,"[np.int64(86), np.int64(86)]",17,2
86,87,"[np.int64(87), np.int64(87)]",6,2
87,88,[np.int64(88)],13,0
88,89,[np.int64(89)],6,0
89,90,[np.int64(90)],13,0
90,91,[np.int64(91)],4,2
91,92,[np.int64(92)],5,2
92,93,[np.int64(93)],2,2
93,94,[np.int64(94)],5,2
94,95,"[np.int64(95), np.int64(95)]",14,3
95,96,[np.int64(96)],3,1
96,97,[np.int64(97)],3,1
97,98,"[np.int64(98), np.int64(98)]",4,3
98,99,[np.int64(99)],3,1
99,100,[np.int64(100)],6,2
100,101,"[np.int64(101), np.int64(101)]",5,2
101,102,[np.int64(102)],3,1
102,103,[np.int64(103)],6,1
103,104,[np.int64(104)],3,1
104,105,[np.int64(105)],3,1
105,106,[np.int64(106)],6,0
106,107,[np.int64(107)],17,0
107,108,[np.int64(108)],3,1
108,109,"[np.int64(109), np.int64(109)]",2,3
109,110,[np.int64(110)],4,2
110,111,"[np.int64(111), np.int64(111)]",1,2
111,112,[np.int64(112)],2,2
112,113,[np.int64(113)],1,2
113,114,[np.int64(114)],6,2
114,115,"[np.int64(115), np.int64(115)]",1,2
115,116,[np.int64(116)],6,1
116,117,[np.int64(117)],13,1
117,118,"[np.int64(118), np.int64(118)]",8,2
118,119,[np.int64(119)],15,0
119,120,[np.int64(120)],2,3
120,121,[np.int64(121)],4,2
121,122,"[np.int64(122), np.int64(122)]",3,2
122,123,[np.int64(123)],2,2
123,124,[np.int64(124)],3,2
124,125,[np.int64(125)],6,2
125,126,[np.int64(126)],3,2
126,127,[np.int64(127)],6,1
127,128,[np.int64(128)],11,1
128,129,[np.int64(129)],8,2
129,130,[np.int64(130)],3,2
130,131,[np.int64(131)],2,3
131,132,[np.int64(132)],4,2
132,133,"[np.int64(133), np.int64(133)]",15,2
133,134,[np.int64(134)],7,3
134,135,[np.int64(135)],2,2
135,136,[np.int64(136)],15,2
136,137,[np.int64(137)],14,3
137,138,[np.int64(138)],7,3
138,139,[np.int64(139)],4,3
139,140,[np.int64(140)],7,3
140,141,[np.int64(141)],6,2
141,142,[np.int64(142)],15,2
142,143,"[np.int64(143), np.int64(143)]",6,3
