seq,road_id,edges,road_no,partition
144,150,[np.float64(150.0)],3,2
145,151,[np.float64(151.0)],11,1
146,152,[np.float64(152.0)],18,2
147,153,[np.float64(153.0)],11,2
148,154,[np.float64(154.0)],11,2
149,183,[np.float64(183.0)],8,2
150,155,[np.float64(155.0)],14,2
151,156,[np.float64(156.0)],23,2
152,157,[np.float64(157.0)],17,1
153,158,[np.float64(158.0)],18,1
154,159,"[np.float64(159.0), np.float64(159.0)]",59,1
155,160,"[np.float64(160.0), np.float64(160.0)]",31,1
156,161,[np.float64(161.0)],24,1
157,162,[np.float64(162.0)],11,2
158,163,"[np.float64(163.0), np.float64(163.0)]",17,1
159,164,"[np.float64(164.0), np.float64(164.0)]",34,2
160,165,"[np.float64(165.0), np.float64(165.0)]",29,1
161,166,"[np.float64(166.0), np.float64(166.0)]",22,1
162,167,[np.float64(167.0)],15,2
163,168,[np.float64(168.0)],20,2
164,169,[np.float64(169.0)],22,1
165,170,"[np.float64(170.0), np.float64(170.0)]",58,1
166,171,"[np.float64(171.0), np.float64(171.0)]",38,2
167,172,[np.float64(172.0)],11,2
168,173,[np.float64(173.0)],18,2
169,174,[np.float64(174.0)],15,2
170,175,[np.float64(175.0)],4,2
171,176,[np.float64(176.0)],17,1
172,177,[np.float64(177.0)],12,1
173,178,[np.float64(178.0)],20,1
174,179,[np.float64(179.0)],11,2
175,180,"[np.float64(180.0), np.float64(180.0)]",48,2
176,181,[np.float64(181.0)],11,2
177,182,[np.float64(182.0)],46,2
178,184,[np.float64(184.0)],19,1
179,185,"[np.float64(185.0), np.float64(185.0)]",61,1
180,186,[np.float64(186.0)],17,1
181,187,[np.float64(187.0)],16,1
182,188,"[np.float64(188.0), np.float64(188.0)]",36,2
183,189,"[np.float64(189.0), np.float64(189.0)]",55,1
184,190,"[np.float64(190.0), np.float64(190.0)]",30,2
185,191,[np.float64(191.0)],8,2
186,192,"[np.float64(192.0), np.float64(192.0)]",23,2
187,193,[np.float64(193.0)],20,2
188,194,[np.float64(194.0)],17,1
189,195,[np.float64(195.0)],14,1
190,196,"[np.float64(196.0), np.float64(196.0)]",21,2
191,197,[np.float64(197.0)],23,2
192,198,[np.float64(198.0)],20,1
193,199,[np.float64(199.0)],17,1
194,200,[np.float64(200.0)],26,1
195,201,[np.float64(201.0)],23,2
196,202,[np.float64(202.0)],23,2
197,203,"[np.float64(203.0), np.float64(203.0)]",28,2
198,204,[np.float64(204.0)],17,1
