seq,road_id,edges,road_no,partition
90,259,[np.float64(259.0)],11,2
91,260,[np.float64(260.0)],14,2
92,268,[np.float64(268.0)],13,2
93,269,[np.float64(269.0)],9,2
94,270,[np.float64(270.0)],25,2
95,271,[np.float64(271.0)],28,2
96,286,[np.float64(286.0)],16,2
97,287,[np.float64(287.0)],30,1
98,290,[np.float64(290.0)],3,1
99,294,[np.float64(294.0)],23,2
100,295,[np.float64(295.0)],30,2
101,298,[np.float64(298.0)],1,1
102,299,[np.float64(299.0)],6,1
103,303,[np.float64(303.0)],39,1
104,304,[np.float64(304.0)],40,1
105,305,[np.float64(305.0)],21,2
106,306,[np.float64(306.0)],32,2
107,309,[np.float64(309.0)],35,1
108,310,[np.float64(310.0)],36,1
109,311,[np.float64(311.0)],37,1
110,312,[np.float64(312.0)],32,1
111,313,[np.float64(313.0)],31,1
112,314,[np.float64(314.0)],26,1
113,317,[np.float64(317.0)],33,1
114,318,[np.float64(318.0)],28,1
115,321,[np.float64(321.0)],43,2
116,322,[np.float64(322.0)],48,2
117,324,[np.float64(324.0)],41,2
118,325,[np.float64(325.0)],34,2
119,330,[np.float64(330.0)],31,2
120,331,[np.float64(331.0)],29,2
121,332,[np.float64(332.0)],36,2
122,338,[np.float64(338.0)],43,1
123,343,[np.float64(343.0)],39,2
124,344,[np.float64(344.0)],46,2
125,346,[np.float64(346.0)],40,2
126,349,[np.float64(349.0)],23,1
127,350,[np.float64(350.0)],14,1
128,351,[np.float64(351.0)],25,1
129,352,[np.float64(352.0)],20,1
130,355,[np.float64(355.0)],22,1
131,361,[np.float64(361.0)],29,1
132,362,[np.float64(362.0)],27,1
133,363,[np.float64(363.0)],24,1
134,369,[np.float64(369.0)],37,2
135,370,[np.float64(370.0)],10,3
136,373,[np.float64(373.0)],35,2
137,374,[np.float64(374.0)],44,2
138,380,[np.float64(380.0)],33,2
139,381,[np.float64(381.0)],42,2
140,385,[np.float64(385.0)],21,1
141,388,[np.float64(388.0)],19,3
142,389,[np.float64(389.0)],26,3
143,390,[np.float64(390.0)],16,1
144,510,[np.float64(510.0)],14,3
145,391,[np.float64(391.0)],17,3
146,422,[np.float64(422.0)],19,1
147,426,[np.float64(426.0)],17,1
148,427,[np.float64(427.0)],18,1
149,429,[np.float64(429.0)],15,1
150,441,[np.float64(441.0)],13,1
151,444,[np.float64(444.0)],7,3
152,447,[np.float64(447.0)],24,3
153,448,[np.float64(448.0)],22,3
154,449,[np.float64(449.0)],21,3
155,450,[np.float64(450.0)],20,3
156,452,[np.float64(452.0)],6,3
157,459,[np.float64(459.0)],5,3
158,460,[np.float64(460.0)],8,3
159,464,[np.float64(464.0)],15,3
160,465,[np.float64(465.0)],18,3
161,473,[np.float64(473.0)],1,3
162,474,[np.float64(474.0)],2,3
163,480,[np.float64(480.0)],3,3
164,481,[np.float64(481.0)],4,3
165,499,[np.float64(499.0)],9,3
166,500,[np.float64(500.0)],12,3
167,503,[np.float64(503.0)],16,3
168,504,[np.float64(504.0)],11,3
169,509,[np.float64(509.0)],13,3
