seq,road_id,edges,road_no,partition
0,144,[np.float64(144.0)],18,0
1,11,[np.float64(11.0)],44,1
2,340,[np.float64(340.0)],38,2
3,14,[np.float64(14.0)],36,0
4,15,[np.float64(15.0)],6,0
5,16,[np.float64(16.0)],2,0
6,17,[np.float64(17.0)],48,0
7,18,[np.float64(18.0)],46,0
8,19,[np.float64(19.0)],44,0
9,20,[np.float64(20.0)],8,2
10,25,[np.float64(25.0)],21,0
11,26,[np.float64(26.0)],34,0
12,30,[np.float64(30.0)],13,0
13,31,[np.float64(31.0)],30,0
14,32,[np.float64(32.0)],4,0
15,36,[np.float64(36.0)],35,0
16,37,[np.float64(37.0)],23,0
17,38,[np.float64(38.0)],8,0
18,39,[np.float64(39.0)],10,0
19,51,[np.float64(51.0)],25,0
20,52,[np.float64(52.0)],28,0
21,53,[np.float64(53.0)],29,0
22,54,[np.float64(54.0)],38,0
23,55,[np.float64(55.0)],31,0
24,56,[np.float64(56.0)],33,0
25,57,[np.float64(57.0)],42,0
26,59,[np.float64(59.0)],27,0
27,60,[np.float64(60.0)],9,0
28,63,[np.float64(63.0)],40,0
29,68,[np.float64(68.0)],5,2
30,69,[np.float64(69.0)],2,2
31,72,[np.float64(72.0)],19,0
32,73,[np.float64(73.0)],42,1
33,81,[np.float64(81.0)],17,0
34,82,[np.float64(82.0)],32,0
35,85,[np.float64(85.0)],26,0
36,92,[np.float64(92.0)],15,0
37,93,[np.float64(93.0)],16,0
38,97,[np.float64(97.0)],11,0
39,98,[np.float64(98.0)],7,0
40,211,[np.float64(211.0)],24,2
41,99,[np.float64(99.0)],12,0
42,103,[np.float64(103.0)],22,2
43,111,[np.float64(111.0)],24,0
44,112,[np.float64(112.0)],47,1
45,123,[np.float64(123.0)],4,2
46,124,[np.float64(124.0)],45,1
47,125,[np.float64(125.0)],12,1
48,133,[np.float64(133.0)],3,0
49,134,[np.float64(134.0)],46,1
50,138,[np.float64(138.0)],1,0
51,139,[np.float64(139.0)],14,0
52,145,[np.float64(145.0)],5,0
53,146,[np.float64(146.0)],22,0
54,147,[np.float64(147.0)],20,0
55,148,[np.float64(148.0)],39,0
56,149,[np.float64(149.0)],54,0
57,151,[np.float64(151.0)],19,2
58,152,[np.float64(152.0)],20,2
59,153,[np.float64(153.0)],11,1
60,154,[np.float64(154.0)],2,1
61,160,[np.float64(160.0)],3,2
62,161,[np.float64(161.0)],18,2
63,162,[np.float64(162.0)],41,0
64,163,[np.float64(163.0)],10,1
65,165,[np.float64(165.0)],37,0
66,166,[np.float64(166.0)],50,0
67,175,[np.float64(175.0)],52,0
68,178,[np.float64(178.0)],1,2
69,179,[np.float64(179.0)],6,2
70,191,[np.float64(191.0)],17,2
71,192,[],0,0
72,196,[np.float64(196.0)],7,2
73,197,[np.float64(197.0)],10,2
74,200,[np.float64(200.0)],12,2
75,209,[np.float64(209.0)],9,1
76,218,[np.float64(218.0)],5,1
77,219,[np.float64(219.0)],4,1
78,221,[np.float64(221.0)],7,1
79,222,[np.float64(222.0)],8,1
80,232,[np.float64(232.0)],41,1
81,233,[np.float64(233.0)],38,1
82,236,[np.float64(236.0)],27,2
83,237,[np.float64(237.0)],26,2
84,238,[np.float64(238.0)],51,1
85,239,[np.float64(239.0)],49,1
86,240,[np.float64(240.0)],48,1
87,241,[np.float64(241.0)],34,1
88,252,[np.float64(252.0)],15,2
89,253,[np.float64(253.0)],50,2
