seq,road_id,edges,road_no,partition
145,391,[np.float64(391.0)],5,3
146,422,[np.float64(422.0)],9,1
147,426,[np.float64(426.0)],9,1
148,427,[np.float64(427.0)],2,1
149,429,[np.float64(429.0)],7,1
150,441,[np.float64(441.0)],7,1
151,444,[np.float64(444.0)],1,3
152,447,"[np.float64(447.0), np.float64(447.0)]",14,3
153,448,[np.float64(448.0)],10,3
154,449,[np.float64(449.0)],5,3
155,450,[np.float64(450.0)],10,3
156,452,[np.float64(452.0)],4,3
157,459,[np.float64(459.0)],1,3
158,460,[np.float64(460.0)],6,3
159,464,"[np.float64(464.0), np.float64(464.0)]",3,3
160,465,[np.float64(465.0)],10,3
161,473,[np.float64(473.0)],1,3
162,474,[np.float64(474.0)],2,3
163,480,[np.float64(480.0)],1,3
164,481,[np.float64(481.0)],4,3
165,499,[np.float64(499.0)],1,3
166,500,"[np.float64(500.0), np.float64(500.0)]",12,3
167,503,[np.float64(503.0)],10,3
168,504,[np.float64(504.0)],1,3
169,509,[np.float64(509.0)],1,3
